NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,1/06/2016,No,0.718,0.724,0.729,0.714,0.711,0.703,0.702,0.701,0.709,0.729,0.778,0.855,1.012,1.192,1.372,1.584,1.851,2.064,2.181,2.152,2.091,2.045,2.008,1.943,1.870,1.784,1.732,1.674,1.627,1.581,1.551,1.498,1.440,1.420,1.360,1.293,1.215,1.145,1.092,1.049,1.002,0.940,0.873,0.819,0.767,0.734,0.723,0.717
6400000000,1220000,Consumption,1/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2/06/2016,No,0.713,0.714,0.717,0.705,0.697,0.689,0.675,0.666,0.669,0.675,0.687,0.722,0.787,0.838,0.895,0.955,1.057,1.162,1.291,1.312,1.326,1.318,1.307,1.267,1.206,1.143,1.084,1.039,1.011,0.984,0.977,0.966,0.974,0.998,1.015,1.041,1.033,1.010,0.981,0.955,0.922,0.883,0.835,0.787,0.735,0.705,0.695,0.686
6400000000,1220000,Consumption,2/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,3/06/2016,No,0.693,0.693,0.683,0.673,0.663,0.660,0.652,0.645,0.641,0.647,0.655,0.671,0.706,0.745,0.763,0.795,0.838,0.868,0.913,0.947,0.988,0.993,0.995,0.991,0.970,0.946,0.923,0.910,0.882,0.878,0.875,0.887,0.890,0.904,0.934,0.956,0.929,0.903,0.881,0.858,0.817,0.780,0.726,0.689,0.652,0.631,0.626,0.637
6400000000,1220000,Consumption,3/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,4/06/2016,No,0.634,0.646,0.644,0.639,0.640,0.635,0.627,0.628,0.636,0.657,0.703,0.771,0.909,1.094,1.262,1.472,1.772,1.989,2.116,2.084,2.039,2.009,1.948,1.884,1.819,1.762,1.740,1.735,1.717,1.692,1.638,1.587,1.518,1.443,1.321,1.208,1.092,1.018,0.982,0.933,0.875,0.830,0.775,0.723,0.683,0.669,0.682,0.690
6400000000,1220000,Consumption,4/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,5/06/2016,No,0.691,0.694,0.690,0.676,0.673,0.671,0.661,0.666,0.671,0.693,0.737,0.808,0.945,1.125,1.301,1.488,1.771,1.984,2.095,2.049,1.989,1.946,1.887,1.834,1.775,1.731,1.716,1.684,1.675,1.642,1.597,1.562,1.487,1.419,1.341,1.270,1.183,1.119,1.065,1.015,0.943,0.881,0.817,0.758,0.711,0.689,0.688,0.695
6400000000,1220000,Consumption,5/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,6/06/2016,No,0.692,0.702,0.696,0.681,0.682,0.682,0.678,0.683,0.692,0.710,0.752,0.821,0.976,1.166,1.346,1.548,1.824,2.044,2.145,2.091,2.024,1.973,1.916,1.862,1.791,1.723,1.683,1.653,1.632,1.592,1.572,1.534,1.476,1.429,1.355,1.287,1.184,1.120,1.074,1.018,0.953,0.894,0.826,0.770,0.716,0.681,0.682,0.686
6400000000,1220000,Consumption,6/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,7/06/2016,No,0.687,0.697,0.690,0.679,0.675,0.667,0.666,0.667,0.674,0.695,0.738,0.807,0.947,1.108,1.267,1.447,1.655,1.829,1.946,1.929,1.919,1.914,1.907,1.909,1.904,1.848,1.822,1.795,1.773,1.730,1.694,1.629,1.551,1.492,1.420,1.314,1.226,1.159,1.101,1.043,0.979,0.907,0.829,0.757,0.701,0.675,0.670,0.678
6400000000,1220000,Consumption,7/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,8/06/2016,No,0.677,0.682,0.681,0.672,0.666,0.661,0.657,0.653,0.656,0.678,0.717,0.776,0.902,1.052,1.215,1.385,1.601,1.795,1.930,1.965,1.984,2.015,2.040,2.044,2.019,1.975,1.954,1.913,1.869,1.804,1.757,1.689,1.602,1.524,1.416,1.310,1.208,1.133,1.082,1.038,0.989,0.941,0.877,0.817,0.762,0.727,0.711,0.714
6400000000,1220000,Consumption,8/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,9/06/2016,No,0.716,0.710,0.698,0.688,0.682,0.676,0.669,0.665,0.659,0.664,0.679,0.711,0.747,0.803,0.868,0.912,0.985,1.078,1.187,1.196,1.218,1.228,1.219,1.196,1.159,1.123,1.070,1.035,1.000,0.982,0.967,0.963,0.966,1.003,1.030,1.059,1.046,1.029,1.007,0.985,0.953,0.913,0.870,0.817,0.764,0.733,0.712,0.711
6400000000,1220000,Consumption,9/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,10/06/2016,No,0.707,0.707,0.700,0.691,0.679,0.671,0.667,0.664,0.665,0.666,0.684,0.699,0.719,0.762,0.792,0.825,0.863,0.905,0.950,0.958,0.989,0.975,0.985,0.970,0.937,0.926,0.909,0.892,0.887,0.879,0.865,0.874,0.894,0.921,0.956,0.993,0.988,0.962,0.949,0.935,0.901,0.866,0.816,0.767,0.715,0.689,0.683,0.679
6400000000,1220000,Consumption,10/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,11/06/2016,No,0.682,0.689,0.682,0.673,0.673,0.664,0.658,0.657,0.656,0.661,0.684,0.713,0.759,0.804,0.837,0.862,0.903,0.919,0.934,0.947,0.954,0.944,0.940,0.931,0.916,0.899,0.886,0.870,0.843,0.830,0.820,0.821,0.829,0.860,0.881,0.898,0.876,0.857,0.837,0.818,0.788,0.757,0.713,0.683,0.645,0.624,0.637,0.648
6400000000,1220000,Consumption,11/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,12/06/2016,No,0.653,0.661,0.663,0.653,0.648,0.642,0.636,0.641,0.644,0.664,0.702,0.765,0.894,1.052,1.227,1.426,1.685,1.924,2.077,2.092,2.058,2.027,2.003,1.977,1.933,1.878,1.829,1.779,1.777,1.751,1.730,1.675,1.612,1.530,1.418,1.289,1.186,1.112,1.058,0.995,0.931,0.870,0.798,0.739,0.687,0.663,0.666,0.668
6400000000,1220000,Consumption,12/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,13/06/2016,No,0.672,0.679,0.675,0.670,0.666,0.658,0.651,0.656,0.663,0.681,0.725,0.792,0.933,1.104,1.279,1.459,1.718,1.930,2.060,2.061,2.028,2.027,2.019,2.017,1.999,1.951,1.935,1.913,1.892,1.856,1.824,1.760,1.688,1.600,1.490,1.352,1.233,1.156,1.091,1.039,0.979,0.912,0.838,0.767,0.715,0.688,0.682,0.685
