NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,2016-08-06,No,0.973,0.984,0.964,0.953,0.939,0.936,0.911,0.893,0.914,0.916,0.934,0.934,0.985,1.100,1.197,1.294,1.493,1.673,1.844,1.883,1.863,1.900,1.865,1.796,1.654,1.558,1.429,1.344,1.284,1.287,1.254,1.244,1.239,1.267,1.281,1.349,1.356,1.310,1.284,1.273,1.231,1.185,1.124,1.070,1.026,0.972,0.923,0.906
6400000000,1220000,Consumption,2016-08-06,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-07,No,0.905,0.933,0.930,0.935,0.937,0.905,0.900,0.910,0.884,0.890,0.879,0.877,0.914,0.982,0.979,1.010,1.094,1.130,1.167,1.173,1.190,1.204,1.185,1.196,1.149,1.117,1.107,1.054,1.036,1.031,1.011,1.000,1.055,1.100,1.138,1.185,1.238,1.188,1.174,1.164,1.128,1.044,1.001,0.952,0.903,0.878,0.861,0.877
6400000000,1220000,Consumption,2016-08-07,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-08,No,0.901,0.901,0.896,0.895,0.900,0.901,0.886,0.864,0.900,0.890,0.911,1.064,1.357,1.735,2.083,2.508,3.156,3.619,3.785,3.727,3.624,3.609,3.513,3.450,3.355,3.246,3.207,3.154,3.074,2.943,2.842,2.694,2.508,2.300,1.951,1.652,1.454,1.349,1.297,1.222,1.172,1.101,1.031,0.988,0.947,0.922,0.931,0.947
6400000000,1220000,Consumption,2016-08-08,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-09,No,0.960,0.956,0.955,0.942,0.941,0.916,0.899,0.894,0.899,0.899,0.942,1.075,1.333,1.720,2.035,2.383,2.993,3.447,3.646,3.559,3.538,3.503,3.361,3.221,3.132,3.017,2.968,2.880,2.810,2.674,2.618,2.499,2.356,2.223,1.927,1.702,1.591,1.446,1.379,1.310,1.237,1.145,1.065,1.007,0.930,0.899,0.885,0.890
6400000000,1220000,Consumption,2016-08-09,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-10,No,0.902,0.912,0.926,0.914,0.911,0.884,0.881,0.877,0.886,0.901,0.925,1.040,1.316,1.668,1.933,2.248,2.728,3.064,3.132,3.057,3.011,3.018,2.957,2.908,2.842,2.790,2.718,2.719,2.674,2.671,2.657,2.585,2.463,2.299,2.010,1.785,1.658,1.541,1.477,1.426,1.326,1.226,1.118,1.034,0.981,0.952,0.923,0.961
6400000000,1220000,Consumption,2016-08-10,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-11,No,0.974,0.982,0.975,0.954,0.950,0.934,0.936,0.944,0.929,0.945,0.968,1.108,1.373,1.764,2.073,2.413,3.008,3.444,3.606,3.538,3.445,3.390,3.266,3.238,3.178,3.068,3.016,2.982,2.841,2.828,2.754,2.642,2.499,2.388,2.107,1.842,1.707,1.582,1.528,1.466,1.370,1.273,1.161,1.078,0.998,0.957,0.928,0.938
6400000000,1220000,Consumption,2016-08-11,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-12,No,0.942,0.963,0.975,0.968,0.978,0.951,0.950,0.937,0.955,0.951,1.015,1.122,1.405,1.777,2.104,2.481,3.001,3.448,3.616,3.584,3.433,3.390,3.307,3.178,3.156,3.129,3.021,2.931,2.890,2.815,2.741,2.641,2.532,2.332,2.091,1.871,1.724,1.586,1.500,1.436,1.381,1.304,1.201,1.102,1.034,0.990,0.957,0.953
6400000000,1220000,Consumption,2016-08-12,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
