NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,2016-08-06,No,0.912,0.876,0.867,0.848,0.845,0.833,0.833,0.826,0.820,0.837,0.843,0.840,0.892,0.931,0.972,1.034,1.138,1.254,1.423,1.502,1.619,1.665,1.696,1.662,1.622,1.610,1.638,1.603,1.569,1.557,1.503,1.487,1.483,1.447,1.455,1.419,1.401,1.368,1.322,1.277,1.239,1.215,1.188,1.136,1.077,1.019,0.972,0.934
6400000000,1220000,Consumption,2016-08-06,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-07,No,0.906,0.878,0.853,0.840,0.820,0.809,0.797,0.790,0.799,0.794,0.813,0.813,0.847,0.887,0.921,0.932,0.995,1.066,1.117,1.193,1.254,1.315,1.377,1.356,1.316,1.285,1.277,1.264,1.251,1.258,1.238,1.251,1.218,1.215,1.236,1.224,1.203,1.173,1.141,1.102,1.087,1.032,1.007,0.979,0.931,0.884,0.829,0.823
6400000000,1220000,Consumption,2016-08-07,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-08,No,0.810,0.796,0.788,0.784,0.784,0.781,0.790,0.803,0.819,0.814,0.831,0.917,1.060,1.280,1.568,1.892,2.282,2.622,2.895,2.954,3.024,3.112,3.163,3.147,3.157,3.085,3.069,3.029,2.845,2.755,2.658,2.578,2.502,2.418,2.196,2.043,1.828,1.653,1.553,1.436,1.318,1.277,1.225,1.127,1.036,0.960,0.924,0.892
6400000000,1220000,Consumption,2016-08-08,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-09,No,0.873,0.857,0.839,0.837,0.834,0.833,0.827,0.839,0.856,0.854,0.891,0.947,1.099,1.290,1.560,1.818,2.159,2.505,2.731,2.860,2.952,2.993,2.992,2.927,2.904,2.830,2.812,2.735,2.666,2.583,2.518,2.420,2.342,2.316,2.183,2.032,1.775,1.651,1.562,1.467,1.396,1.311,1.210,1.113,1.020,0.951,0.903,0.875
6400000000,1220000,Consumption,2016-08-09,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-10,No,0.834,0.811,0.805,0.787,0.792,0.792,0.792,0.795,0.826,0.832,0.862,0.923,1.069,1.278,1.564,1.818,2.176,2.503,2.693,2.788,2.839,2.836,2.871,2.820,2.835,2.783,2.777,2.757,2.725,2.679,2.590,2.539,2.450,2.373,2.218,2.027,1.835,1.663,1.556,1.488,1.415,1.342,1.265,1.178,1.064,0.972,0.929,0.890
6400000000,1220000,Consumption,2016-08-10,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-11,No,0.851,0.830,0.831,0.817,0.805,0.805,0.802,0.815,0.825,0.834,0.858,0.939,1.080,1.296,1.561,1.872,2.261,2.625,2.829,2.893,2.953,2.899,2.906,2.900,2.882,2.830,2.815,2.756,2.703,2.701,2.662,2.576,2.486,2.435,2.263,2.114,1.961,1.808,1.707,1.652,1.554,1.432,1.305,1.203,1.090,0.981,0.934,0.908
6400000000,1220000,Consumption,2016-08-11,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-12,No,0.865,0.840,0.829,0.843,0.843,0.833,0.840,0.833,0.848,0.856,0.892,0.949,1.120,1.345,1.629,1.928,2.328,2.640,2.845,2.912,2.988,2.973,3.011,3.010,2.985,2.870,2.855,2.829,2.788,2.755,2.640,2.586,2.496,2.406,2.223,2.061,1.853,1.712,1.586,1.497,1.441,1.349,1.265,1.203,1.092,1.030,0.975,0.940
6400000000,1220000,Consumption,2016-08-12,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-13,No,0.902,0.866,0.861,0.851,0.836,0.818,0.805,0.801,0.796,0.800,0.808,0.832,0.857,0.907,0.944,0.979,1.140,1.255,1.369,1.404,1.529,1.601,1.621,1.628,1.566,1.551,1.529,1.482,1.469,1.489,1.478,1.478,1.460,1.443,1.416,1.392,1.378,1.346,1.297,1.258,1.229,1.198,1.175,1.131,1.050,0.994,0.964,0.908
6400000000,1220000,Consumption,2016-08-13,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
