NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,2016-08-06,No,0.824,0.803,0.787,0.766,0.763,0.765,0.762,0.778,0.765,0.776,0.790,0.833,0.901,0.964,1.043,1.101,1.293,1.437,1.657,1.750,1.812,1.814,1.846,1.811,1.734,1.671,1.583,1.508,1.440,1.384,1.326,1.296,1.321,1.336,1.321,1.331,1.330,1.318,1.288,1.259,1.203,1.153,1.093,1.027,0.957,0.890,0.832,0.806
6400000000,1220000,Consumption,2016-08-06,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-07,No,0.782,0.758,0.734,0.730,0.724,0.718,0.725,0.724,0.713,0.717,0.733,0.745,0.755,0.776,0.753,0.779,0.834,0.880,0.940,0.974,1.034,1.064,1.079,1.081,1.070,1.053,1.019,0.986,0.969,0.952,0.948,0.940,0.980,1.041,1.080,1.106,1.164,1.166,1.156,1.126,1.093,1.079,1.013,0.949,0.863,0.808,0.787,0.775
6400000000,1220000,Consumption,2016-08-07,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-08,No,0.793,0.785,0.764,0.752,0.760,0.760,0.764,0.750,0.759,0.774,0.832,0.919,1.117,1.415,1.807,2.198,2.621,2.958,3.148,3.174,3.220,3.314,3.336,3.272,3.214,3.180,3.145,3.033,2.910,2.805,2.664,2.508,2.319,2.123,1.856,1.661,1.596,1.510,1.439,1.353,1.266,1.169,1.090,0.989,0.901,0.852,0.830,0.819
6400000000,1220000,Consumption,2016-08-08,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-09,No,0.814,0.805,0.791,0.772,0.773,0.779,0.782,0.784,0.793,0.804,0.866,0.963,1.178,1.427,1.791,2.125,2.571,2.930,3.192,3.280,3.283,3.245,3.171,3.022,2.965,2.911,2.828,2.769,2.621,2.578,2.532,2.370,2.226,2.043,1.862,1.801,1.785,1.703,1.609,1.498,1.356,1.268,1.150,1.038,0.941,0.886,0.840,0.837
6400000000,1220000,Consumption,2016-08-09,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-10,No,0.825,0.810,0.793,0.789,0.787,0.781,0.799,0.803,0.807,0.814,0.868,0.970,1.161,1.452,1.781,2.136,2.480,2.723,2.958,2.975,2.941,2.921,2.906,2.841,2.808,2.736,2.726,2.698,2.660,2.618,2.552,2.428,2.268,2.134,1.942,1.810,1.763,1.651,1.595,1.525,1.392,1.285,1.155,1.042,0.980,0.904,0.853,0.834
6400000000,1220000,Consumption,2016-08-10,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-11,No,0.809,0.788,0.779,0.760,0.767,0.761,0.766,0.780,0.778,0.804,0.863,0.965,1.162,1.444,1.799,2.173,2.613,2.899,3.144,3.121,3.056,3.072,3.013,2.967,2.918,2.835,2.734,2.672,2.625,2.622,2.564,2.448,2.293,2.150,2.008,1.948,1.935,1.862,1.822,1.709,1.540,1.439,1.285,1.103,0.967,0.888,0.840,0.815
6400000000,1220000,Consumption,2016-08-11,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-12,No,0.816,0.817,0.781,0.778,0.768,0.775,0.786,0.784,0.807,0.814,0.853,0.975,1.201,1.449,1.808,2.163,2.584,2.928,3.115,3.133,3.112,3.089,3.095,3.048,3.033,2.867,2.722,2.628,2.540,2.505,2.434,2.338,2.208,2.115,1.948,1.835,1.763,1.708,1.653,1.568,1.444,1.348,1.198,1.106,1.000,0.906,0.862,0.828
6400000000,1220000,Consumption,2016-08-12,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
