NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,2016-08-06,No,1.024,0.992,0.971,0.962,0.938,0.949,0.941,0.943,0.933,0.923,0.923,0.942,1.000,1.054,1.105,1.170,1.323,1.452,1.605,1.624,1.664,1.652,1.615,1.601,1.513,1.449,1.383,1.328,1.299,1.279,1.236,1.235,1.230,1.274,1.334,1.363,1.438,1.432,1.401,1.378,1.288,1.242,1.199,1.155,1.097,1.062,1.063,1.057
6400000000,1220000,Consumption,2016-08-06,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-07,No,1.023,0.987,0.957,0.940,0.927,0.918,0.903,0.907,0.917,0.906,0.926,0.919,0.954,1.008,1.014,1.036,1.101,1.120,1.151,1.214,1.266,1.291,1.263,1.196,1.183,1.141,1.095,1.070,1.078,1.066,1.052,1.074,1.074,1.110,1.159,1.191,1.282,1.277,1.293,1.276,1.199,1.146,1.065,1.013,0.965,0.926,0.971,0.976
6400000000,1220000,Consumption,2016-08-07,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-08,No,0.954,0.945,0.906,0.893,0.890,0.881,0.881,0.893,0.892,0.903,0.947,1.021,1.186,1.518,1.728,2.084,2.738,3.222,3.449,3.378,3.358,3.298,3.216,3.085,3.004,2.851,2.732,2.594,2.530,2.488,2.369,2.288,2.190,2.083,1.874,1.643,1.641,1.580,1.505,1.408,1.333,1.222,1.140,1.084,1.030,1.006,1.031,1.040
6400000000,1220000,Consumption,2016-08-08,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-09,No,1.017,0.991,0.963,0.962,0.940,0.928,0.906,0.913,0.920,0.937,0.986,1.027,1.191,1.495,1.733,2.086,2.700,3.159,3.333,3.245,3.182,3.074,3.034,2.928,2.837,2.744,2.698,2.605,2.555,2.531,2.494,2.340,2.218,2.085,1.857,1.719,1.729,1.666,1.589,1.487,1.352,1.254,1.136,1.074,1.007,1.003,1.034,1.032
6400000000,1220000,Consumption,2016-08-09,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-10,No,0.992,0.975,0.953,0.940,0.918,0.912,0.901,0.910,0.930,0.945,0.985,1.066,1.228,1.540,1.754,2.113,2.625,2.990,3.149,3.081,3.013,2.916,2.893,2.810,2.750,2.682,2.671,2.648,2.589,2.554,2.491,2.394,2.333,2.223,2.007,1.830,1.781,1.697,1.617,1.491,1.391,1.315,1.212,1.139,1.061,1.042,1.083,1.094
6400000000,1220000,Consumption,2016-08-10,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-11,No,1.073,1.032,1.006,0.978,0.968,0.944,0.937,0.952,0.946,0.986,1.019,1.108,1.266,1.549,1.797,2.177,2.737,3.174,3.336,3.199,3.081,2.969,2.941,2.841,2.752,2.663,2.592,2.553,2.502,2.467,2.398,2.298,2.191,2.100,1.897,1.821,1.873,1.835,1.779,1.725,1.544,1.367,1.270,1.171,1.072,1.031,1.063,1.065
