NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,2016-08-06,No,0.831,0.829,0.800,0.798,0.792,0.778,0.772,0.772,0.770,0.773,0.804,0.836,0.898,0.964,1.034,1.097,1.235,1.448,1.685,1.761,1.801,1.823,1.804,1.767,1.690,1.612,1.567,1.508,1.478,1.455,1.409,1.346,1.322,1.320,1.292,1.318,1.354,1.313,1.265,1.224,1.186,1.144,1.097,1.039,0.962,0.897,0.873,0.838
6400000000,1220000,Consumption,2016-08-06,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-07,No,0.814,0.801,0.793,0.774,0.757,0.754,0.763,0.762,0.757,0.753,0.763,0.784,0.828,0.842,0.820,0.861,0.946,1.012,1.095,1.176,1.262,1.268,1.267,1.238,1.222,1.204,1.183,1.168,1.150,1.118,1.098,1.107,1.126,1.124,1.093,1.140,1.205,1.191,1.177,1.151,1.088,1.046,0.992,0.929,0.846,0.815,0.796,0.784
6400000000,1220000,Consumption,2016-08-07,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-08,No,0.776,0.765,0.759,0.755,0.753,0.741,0.745,0.760,0.768,0.790,0.830,0.941,1.176,1.477,1.774,2.200,2.675,3.060,3.328,3.334,3.279,3.325,3.338,3.335,3.231,3.145,3.143,3.036,2.895,2.765,2.649,2.521,2.397,2.235,1.962,1.755,1.585,1.464,1.388,1.313,1.233,1.162,1.068,0.985,0.920,0.860,0.841,0.812
6400000000,1220000,Consumption,2016-08-08,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-09,No,0.788,0.778,0.774,0.761,0.760,0.757,0.763,0.776,0.774,0.800,0.839,0.928,1.138,1.414,1.675,2.016,2.487,2.841,3.081,3.188,3.157,3.144,3.081,2.922,2.852,2.807,2.803,2.710,2.642,2.571,2.495,2.395,2.256,2.128,1.883,1.779,1.727,1.584,1.486,1.374,1.264,1.190,1.081,0.999,0.911,0.856,0.815,0.797
6400000000,1220000,Consumption,2016-08-09,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2016-08-10,No,0.786,0.782,0.770,0.756,0.750,0.743,0.748,0.773,0.777,0.785,0.832,0.932,1.148,1.414,1.657,2.041,2.396,2.692,2.916,2.931,2.883,2.858,2.843,2.797,2.763,2.714,2.705,2.690,2.646,2.575,2.505,2.432,2.328,2.250,2.018,1.847,1.739,1.623,1.532,1.449,1.357,1.240,1.131,1.036,0.958,0.905,0.862,0.847
6400000000,1220000,Consumption,2016-08-10,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
