NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,1/06/2016,No,0.751,0.737,0.723,0.713,0.710,0.697,0.690,0.686,0.684,0.704,0.736,0.793,0.955,1.123,1.315,1.508,1.746,1.948,2.143,2.227,2.313,2.321,2.345,2.325,2.305,2.277,2.237,2.218,2.170,2.123,2.045,1.983,1.939,1.899,1.838,1.724,1.588,1.502,1.428,1.367,1.323,1.273,1.213,1.145,1.064,0.990,0.922,0.866
6400000000,1220000,Consumption,1/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2/06/2016,No,0.817,0.784,0.758,0.741,0.721,0.720,0.709,0.696,0.688,0.695,0.706,0.711,0.746,0.786,0.841,0.906,0.997,1.085,1.215,1.298,1.401,1.435,1.483,1.486,1.481,1.459,1.436,1.427,1.409,1.383,1.353,1.327,1.315,1.325,1.329,1.319,1.280,1.253,1.221,1.203,1.179,1.153,1.126,1.077,1.008,0.946,0.890,0.837
6400000000,1220000,Consumption,2/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,3/06/2016,No,0.797,0.769,0.740,0.720,0.707,0.698,0.687,0.678,0.674,0.671,0.674,0.676,0.701,0.725,0.765,0.810,0.863,0.924,0.996,1.065,1.162,1.226,1.284,1.307,1.299,1.291,1.280,1.276,1.269,1.265,1.237,1.198,1.192,1.196,1.188,1.192,1.155,1.125,1.111,1.102,1.067,1.033,0.991,0.924,0.855,0.790,0.744,0.727
6400000000,1220000,Consumption,3/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,4/06/2016,No,0.710,0.694,0.681,0.670,0.668,0.665,0.664,0.659,0.665,0.680,0.720,0.781,0.940,1.103,1.306,1.492,1.770,1.983,2.154,2.256,2.337,2.348,2.336,2.298,2.284,2.270,2.231,2.190,2.144,2.090,2.019,1.944,1.887,1.822,1.741,1.618,1.477,1.380,1.291,1.232,1.173,1.124,1.055,0.981,0.892,0.823,0.779,0.749
6400000000,1220000,Consumption,4/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,5/06/2016,No,0.726,0.717,0.700,0.697,0.690,0.687,0.681,0.678,0.689,0.691,0.728,0.794,0.940,1.106,1.285,1.463,1.681,1.869,2.041,2.117,2.199,2.231,2.256,2.268,2.253,2.225,2.209,2.168,2.129,2.078,2.029,1.959,1.909,1.847,1.789,1.701,1.544,1.442,1.369,1.311,1.257,1.198,1.117,1.023,0.922,0.852,0.799,0.756
6400000000,1220000,Consumption,5/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,6/06/2016,No,0.736,0.720,0.712,0.704,0.699,0.695,0.691,0.681,0.694,0.707,0.740,0.803,0.964,1.126,1.336,1.523,1.767,1.972,2.157,2.262,2.328,2.343,2.343,2.304,2.284,2.251,2.212,2.181,2.131,2.070,2.004,1.938,1.881,1.854,1.794,1.694,1.559,1.467,1.382,1.333,1.274,1.225,1.145,1.055,0.964,0.883,0.822,0.774
