NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,1/06/2016,No,0.590,0.573,0.566,0.563,0.556,0.555,0.558,0.569,0.576,0.595,0.640,0.710,0.848,1.021,1.268,1.513,1.746,1.934,2.075,2.092,2.061,2.032,2.006,1.936,1.876,1.797,1.753,1.727,1.680,1.635,1.573,1.488,1.425,1.360,1.319,1.263,1.172,1.109,1.047,1.001,0.951,0.886,0.826,0.772,0.714,0.662,0.621,0.597
6400000000,1220000,Consumption,1/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2/06/2016,No,0.585,0.565,0.560,0.556,0.556,0.552,0.552,0.552,0.552,0.559,0.579,0.599,0.663,0.722,0.790,0.853,0.956,1.067,1.190,1.242,1.271,1.268,1.246,1.213,1.161,1.117,1.070,1.045,1.011,0.986,0.955,0.920,0.904,0.924,0.920,0.926,0.910,0.885,0.861,0.841,0.808,0.780,0.742,0.704,0.658,0.626,0.604,0.582
6400000000,1220000,Consumption,2/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,3/06/2016,No,0.570,0.555,0.544,0.536,0.534,0.525,0.524,0.533,0.532,0.533,0.538,0.543,0.565,0.585,0.609,0.623,0.669,0.714,0.774,0.826,0.875,0.902,0.917,0.906,0.891,0.877,0.855,0.836,0.824,0.812,0.795,0.791,0.797,0.817,0.831,0.839,0.830,0.820,0.798,0.778,0.750,0.727,0.683,0.643,0.609,0.584,0.565,0.553
6400000000,1220000,Consumption,3/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,4/06/2016,No,0.546,0.539,0.534,0.530,0.533,0.532,0.541,0.537,0.546,0.571,0.616,0.681,0.823,1.002,1.254,1.470,1.752,1.964,2.098,2.102,2.083,2.061,2.021,1.963,1.926,1.859,1.834,1.801,1.762,1.715,1.637,1.564,1.473,1.365,1.253,1.176,1.076,1.015,0.965,0.914,0.852,0.797,0.740,0.686,0.643,0.611,0.593,0.579
6400000000,1220000,Consumption,4/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,5/06/2016,No,0.567,0.562,0.556,0.553,0.550,0.551,0.549,0.554,0.567,0.589,0.630,0.703,0.835,0.998,1.243,1.432,1.666,1.840,1.977,1.991,1.981,1.973,1.941,1.917,1.863,1.815,1.805,1.795,1.774,1.707,1.631,1.558,1.473,1.376,1.306,1.238,1.141,1.073,1.015,0.959,0.894,0.837,0.766,0.704,0.653,0.621,0.600,0.586
6400000000,1220000,Consumption,5/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
