NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,1/06/2016,No,0.672,0.654,0.634,0.621,0.619,0.607,0.600,0.596,0.597,0.609,0.648,0.710,0.826,0.984,1.137,1.311,1.535,1.719,1.797,1.748,1.695,1.649,1.588,1.532,1.486,1.423,1.387,1.352,1.316,1.278,1.247,1.225,1.222,1.225,1.217,1.214,1.153,1.092,1.040,0.990,0.931,0.861,0.787,0.733,0.696,0.664,0.691,0.702
6400000000,1220000,Consumption,1/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2/06/2016,No,0.674,0.656,0.634,0.627,0.615,0.604,0.593,0.592,0.590,0.589,0.612,0.631,0.687,0.742,0.797,0.836,0.905,0.964,1.037,1.045,1.049,1.038,1.020,0.989,0.944,0.910,0.875,0.846,0.819,0.804,0.798,0.812,0.836,0.893,0.925,0.963,0.960,0.932,0.889,0.847,0.816,0.784,0.744,0.712,0.676,0.660,0.673,0.670
6400000000,1220000,Consumption,2/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,3/06/2016,No,0.644,0.630,0.615,0.604,0.594,0.583,0.574,0.579,0.572,0.573,0.580,0.599,0.636,0.672,0.702,0.705,0.741,0.776,0.789,0.814,0.847,0.846,0.842,0.811,0.798,0.776,0.766,0.750,0.732,0.725,0.717,0.739,0.758,0.797,0.827,0.869,0.857,0.833,0.807,0.777,0.734,0.701,0.669,0.639,0.612,0.600,0.611,0.621
6400000000,1220000,Consumption,3/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,4/06/2016,No,0.607,0.598,0.586,0.577,0.571,0.567,0.557,0.558,0.559,0.572,0.619,0.676,0.793,0.943,1.108,1.264,1.519,1.691,1.763,1.723,1.665,1.608,1.574,1.525,1.468,1.418,1.410,1.381,1.352,1.333,1.321,1.304,1.299,1.260,1.190,1.106,1.014,0.959,0.918,0.870,0.810,0.759,0.711,0.683,0.648,0.626,0.677,0.681
6400000000,1220000,Consumption,4/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,5/06/2016,No,0.655,0.644,0.631,0.615,0.607,0.601,0.595,0.592,0.605,0.615,0.648,0.704,0.821,0.970,1.113,1.255,1.482,1.651,1.712,1.658,1.615,1.564,1.532,1.483,1.443,1.392,1.376,1.350,1.324,1.296,1.277,1.265,1.255,1.243,1.222,1.209,1.130,1.064,1.001,0.947,0.868,0.795,0.736,0.695,0.657,0.635,0.680,0.682
6400000000,1220000,Consumption,5/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
