NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6400000000,1220000,Consumption,1/06/2016,No,0.532,0.522,0.514,0.506,0.505,0.505,0.510,0.512,0.526,0.543,0.588,0.663,0.798,0.961,1.173,1.369,1.633,1.817,1.962,1.983,1.949,1.927,1.892,1.844,1.780,1.721,1.665,1.621,1.586,1.522,1.463,1.392,1.338,1.296,1.247,1.178,1.076,1.003,0.951,0.901,0.847,0.797,0.742,0.686,0.639,0.594,0.569,0.545
6400000000,1220000,Consumption,1/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,2/06/2016,No,0.531,0.518,0.514,0.507,0.505,0.500,0.503,0.505,0.507,0.515,0.531,0.552,0.595,0.643,0.701,0.754,0.852,0.945,1.057,1.096,1.133,1.128,1.123,1.103,1.058,1.025,0.984,0.955,0.931,0.908,0.877,0.852,0.834,0.838,0.843,0.849,0.828,0.810,0.781,0.760,0.735,0.705,0.670,0.642,0.602,0.566,0.552,0.538
6400000000,1220000,Consumption,2/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,3/06/2016,No,0.525,0.512,0.504,0.496,0.497,0.494,0.492,0.491,0.492,0.493,0.501,0.513,0.530,0.560,0.589,0.612,0.655,0.708,0.780,0.836,0.900,0.920,0.925,0.905,0.876,0.856,0.829,0.820,0.810,0.798,0.779,0.762,0.755,0.757,0.775,0.781,0.769,0.747,0.723,0.703,0.679,0.650,0.613,0.583,0.559,0.528,0.517,0.505
6400000000,1220000,Consumption,3/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,4/06/2016,No,0.492,0.491,0.484,0.481,0.482,0.479,0.484,0.488,0.499,0.522,0.568,0.634,0.767,0.926,1.152,1.353,1.613,1.825,1.974,1.992,1.968,1.940,1.905,1.848,1.795,1.742,1.721,1.703,1.663,1.608,1.557,1.486,1.405,1.334,1.246,1.146,1.030,0.939,0.889,0.836,0.774,0.722,0.674,0.628,0.584,0.554,0.540,0.527
6400000000,1220000,Consumption,4/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6400000000,1220000,Consumption,5/06/2016,No,0.511,0.504,0.497,0.491,0.491,0.493,0.497,0.501,0.514,0.530,0.573,0.638,0.761,0.910,1.129,1.330,1.556,1.736,1.870,1.860,1.831,1.822,1.781,1.747,1.712,1.681,1.651,1.631,1.606,1.572,1.521,1.456,1.387,1.315,1.245,1.183,1.063,0.992,0.935,0.888,0.828,0.773,0.710,0.653,0.602,0.565,0.551,0.536
6400000000,1220000,Consumption,5/06/2016,No,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
