"NMI","METER SERIAL NUMBER","CON/GEN","DATE","ESTIMATED?","00:00 - 00:30","00:30 - 01:00","01:00 - 01:30","01:30 - 02:00","02:00 - 02:30","02:30 - 03:00","03:00 - 03:30","03:30 - 04:00","04:00 - 04:30","04:30 - 05:00","05:00 - 05:30","05:30 - 06:00","06:00 - 06:30","06:30 - 07:00","07:00 - 07:30","07:30 - 08:00","08:00 - 08:30","08:30 - 09:00","09:00 - 09:30","09:30 - 10:00","10:00 - 10:30","10:30 - 11:00","11:00 - 11:30","11:30 - 12:00","12:00 - 12:30","12:30 - 13:00","13:00 - 13:30","13:30 - 14:00","14:00 - 14:30","14:30 - 15:00","15:00 - 15:30","15:30 - 16:00","16:00 - 16:30","16:30 - 17:00","17:00 - 17:30","17:30 - 18:00","18:00 - 18:30","18:30 - 19:00","19:00 - 19:30","19:30 - 20:00","20:00 - 20:30","20:30 - 21:00","21:00 - 21:30","21:30 - 22:00","22:00 - 22:30","22:30 - 23:00","23:00 - 23:30","23:30 - 00:00"
6407343285,1224857,Consumption,06/12/2016,No,0.025,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,07/12/2016,No,0,0,0.044,0.044,0.025,0.044,0.044,0.025,0.05,0.031,0.031,0.044,0.031,0.081,0.131,0.2,0.531,0.831,0.1,0.094,0.05,0.05,0.044,0.031,0.044,0.025,0.044,0.037,0.637,0.25,0.05,0.031,0.037,0.044,0.037,0.031,0.075,0.494,0.181,0.031,0.431,0.825,0.275,0.119,0.181,0.05,0.044,0.037
6407343285,1224857,Consumption,07/12/2016,No,0.044,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,08/12/2016,No,0,0,0.037,0.031,0.05,0.044,0.037,0.075,0.044,0.044,0.031,0.037,0.044,0.044,0.075,0.275,0.063,0.044,0.138,0.2,0.094,0.056,0.05,0.037,0.044,0.031,0.037,0.037,0.031,0.044,0.044,0.025,0.05,0.044,0.025,0.044,0.05,0.031,0.225,0.069,0.7,0.619,0.688,0.613,0.231,0.412,0.537,0.625
6407343285,1224857,Consumption,08/12/2016,No,0.087,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,09/12/2016,No,0,0,0.081,0.044,0.063,0.031,0.05,0.044,0.031,0.044,0.037,0.037,0.044,0.063,0.362,0.2,0.087,0.069,0.069,0.087,0.056,0.063,0.087,0.044,0.044,0.056,0.044,0.031,0.044,0.044,0.031,0.05,0.044,0.025,0.05,0.231,0.131,0.106,0.1,0.2,0.237,0.075,0.438,0.631,0.675,0.075,0.063,0.037
6407343285,1224857,Consumption,09/12/2016,No,0.05,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,10/12/2016,No,0,0,0.05,0.044,0.031,0.044,0.031,0.037,0.044,0.025,0.044,0.037,0.037,0.044,0.025,0.044,0.037,0.037,0.056,0.087,0.338,0.144,0.144,0.106,0.119,0.056,0.131,0.144,0.188,0.719,0.744,0.537,0.275,0.056,0.069,0.063,0.294,0.113,0.125,0.106,0.119,0.131,0.075,0.05,0.037,0.044,0.05,0.031
6407343285,1224857,Consumption,10/12/2016,No,0.087,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,11/12/2016,No,0,0,0.487,0.338,0.037,0.037,0.05,0.031,0.037,0.044,0.025,0.05,0.113,0.075,0.05,0.05,0.031,0.044,0.037,0.031,0.063,0.206,0.131,0.163,0.131,0.806,0.225,0.275,0.106,0.05,0.037,0.2,0.219,0.319,0.144,0.138,0.775,0.544,0.181,0.138,0.119,0.15,0.169,0.6,0.819,0.094,0.075,0.056
6407343285,1224857,Consumption,11/12/2016,No,0.056,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
